ID,n_clicks,n_visitas,monto_compras,monto_descuentos,dias_primera_compra,info_perfil
rRDcFEFP,270.0,62.0,3364.3,62.5,237.0,212.0
ufBDpNqC,252.0,75.0,2228.3,70.8,203.0,206.0
O1uvrvEJ,374.0,79.0,2710.7,73.4,187.0,159.0
1xm0OmyL,274.0,73.0,3872.9,70.8,204.0,218.0
0us9MNbF,302.0,89.0,3078.5,83.5,176.0,130.0
6NTT8GPL,366.0,67.0,2942.5,79.0,247.0,179.0
2PLbfe0o,187.0,64.0,3967.6,103.8,209.0,210.0
rnAAe7I3,200.0,73.0,3692.7,74.2,278.0,211.0
zZrprP7j,341.0,50.0,3731.2,76.7,208.0,176.0
jY0yygvS,212.0,57.0,3880.6,131.7,220.0,190.0
0ecAv9LA,254.0,81.0,2568.9,64.3,213.0,212.0
VasVeCUi,307.0,52.0,3368.3,93.3,119.0,192.0
9LLpiyHW,298.0,86.0,3286.0,70.7,101.0,158.0
tuDf4IZf,342.0,88.0,3750.1,63.4,215.0,183.0
iD5DK9qs,329.0,84.0,2985.9,94.6,263.0,229.0
so9cH57K,307.0,70.0,4081.3,69.7,275.0,160.0
IPdBVSq2,214.0,49.0,3817.7,91.6,251.0,130.0
lmJHlxjC,293.0,66.0,2661.1,51.8,188.0,198.0
WD8eZ7DM,269.0,65.0,2726.7,74.2,143.0,198.0
h6ji0D1g,186.0,85.0,4160.1,111.9,138.0,156.0
QTFgn5a0,325.0,70.0,3077.6,96.5,198.0,121.0
kqTQ80KG,294.0,62.0,3113.0,102.8,162.0,151.0
NvWsEB8e,255.0,98.0,3252.9,76.2,218.0,233.0
Q0jE3qln,241.0,54.0,3715.5,101.6,188.0,162.0
OVPwPBDv,192.0,57.0,2681.3,80.0,173.0,207.0
BGhrgrF1,263.0,58.0,3652.4,79.0,251.0,194.0
82ElfC72,277.0,55.0,2891.9,83.1,191.0,200.0
oYa4YIfA,211.0,57.0,3525.1,53.3,211.0,145.0
CxN4vjnD,312.0,60.0,3179.7,69.6,262.0,149.0
gp7t0Zbq,197.0,76.0,2231.6,91.3,189.0,165.0
WXqxMZhw,145.0,81.0,3455.8,100.3,97.0,177.0
alkqJ32l,305.0,69.0,2575.6,92.9,210.0,150.0
M0k6GrH0,232.0,42.0,3063.0,73.1,184.0,243.0
GCCaaEwE,246.0,72.0,3131.8,69.0,177.0,265.0
LezJGMDW,210.0,58.0,2600.2,89.3,188.0,252.0
HxxivLEz,171.0,72.0,2943.1,96.8,258.0,226.0
xMSShI4a,316.0,80.0,2371.4,104.2,204.0,242.0
KO4c6Wbx,218.0,70.0,3465.6,70.9,192.0,228.0
igJCyERY,337.0,73.0,4034.2,77.0,248.0,197.0
xbAcmhYL,294.0,88.0,3193.5,107.1,165.0,161.0
aq11Srk5,237.0,58.0,3640.3,63.9,186.0,228.0
aMOzPKWl,198.0,91.0,2126.4,90.0,176.0,208.0
7W5KHJpT,216.0,63.0,3044.5,82.9,269.0,137.0
FjpD9uuy,191.0,45.0,3661.3,68.7,159.0,147.0
LQn7BW2H,359.0,56.0,2985.4,85.0,220.0,132.0
gxaeh1cK,261.0,55.0,3657.9,91.0,158.0,169.0
T8reT4x3,311.0,49.0,2847.3,86.8,200.0,242.0
zApKOm51,189.0,78.0,3384.9,85.7,174.0,148.0
zyYULSkZ,262.0,68.0,3737.4,88.6,177.0,182.0
aaLK3YUa,312.0,80.0,2494.3,78.8,187.0,204.0
fj7MHK4j,236.0,58.0,3831.4,75.1,236.0,209.0
HEGrCDv6,305.0,71.0,3628.8,83.9,131.0,130.0
AIN6bc9L,198.0,49.0,3534.8,84.5,181.0,166.0
P9AztIJC,184.0,62.0,2431.4,74.8,141.0,193.0
8eDlGrTp,272.0,63.0,2919.6,89.7,302.0,156.0
jZAuyXIo,234.0,90.0,3297.7,86.4,189.0,182.0
TzHZPNkg,285.0,61.0,2300.5,101.6,278.0,234.0
Jci6AZ1a,153.0,56.0,3175.3,74.9,109.0,204.0
GpRw0pIf,289.0,64.0,2657.5,82.5,172.0,191.0
Mow26vWK,384.0,76.0,2870.3,107.1,220.0,225.0
lMIaIqxR,252.0,81.0,4043.5,90.3,137.0,160.0
7BxObXfo,255.0,49.0,4604.7,88.8,222.0,180.0
57RwEhjU,262.0,70.0,3483.1,86.3,178.0,160.0
t78UOr9u,158.0,53.0,2913.4,96.1,212.0,172.0
og2EBW1W,274.0,65.0,4843.5,54.2,230.0,166.0
jSCWGXop,171.0,67.0,1754.2,92.7,192.0,227.0
sDUeIjiU,231.0,46.0,2704.6,113.2,227.0,193.0
av3Dt8Jx,316.0,47.0,3175.1,68.4,165.0,188.0
ar6ASaF7,216.0,59.0,3486.4,88.0,250.0,218.0
QA9av6r1,278.0,61.0,1667.6,96.8,218.0,112.0
HMpIZK1l,304.0,64.0,2477.5,91.5,132.0,184.0
lr7d5ywG,267.0,74.0,3513.2,100.1,234.0,227.0
y5DZRlPy,183.0,52.0,2856.3,31.2,185.0,214.0
p0Y6qlbc,236.0,70.0,4391.3,73.9,300.0,161.0
xb2MhzWS,352.0,67.0,3133.2,90.1,163.0,165.0
MBhkPcYv,150.0,62.0,3348.9,82.0,138.0,161.0
feIM6Lpa,239.0,65.0,2611.4,84.5,151.0,216.0
1V7YcQ86,225.0,80.0,3346.5,104.0,150.0,174.0
AaytFwqZ,259.0,27.0,3288.3,86.1,203.0,251.0
urzL5U8l,291.0,73.0,3019.4,51.1,152.0,242.0
X9rQVFA1,334.0,48.0,4118.8,84.6,205.0,215.0
xhi6fzBi,239.0,59.0,2757.7,46.3,178.0,186.0
Ujo4Iose,294.0,49.0,4002.7,59.4,258.0,158.0
WJXUlHhl,278.0,75.0,2900.8,48.1,181.0,139.0
NLYH2tc2,277.0,70.0,2759.5,79.9,171.0,188.0
xvM9Q2dx,224.0,61.0,3115.6,88.4,173.0,175.0
kjvhdhIn,202.0,69.0,3260.6,97.4,227.0,164.0
SiKqsX3V,197.0,66.0,2897.7,59.0,201.0,207.0
gGGJ4PTv,214.0,42.0,2071.1,72.6,215.0,198.0
76LOUGmO,269.0,69.0,4986.9,78.3,194.0,246.0
qyJJ0P1l,291.0,54.0,4344.5,66.2,193.0,177.0
Nv4XJpcq,269.0,72.0,2854.0,76.6,201.0,210.0
KAazN0pl,225.0,71.0,2254.3,83.8,188.0,150.0
cV0kxhIG,344.0,77.0,3039.4,84.9,195.0,163.0
K9DVc4fJ,330.0,66.0,4421.1,68.1,190.0,191.0
TBhxKvBY,235.0,55.0,4013.6,82.1,223.0,219.0
6UojG3js,211.0,85.0,2748.4,63.4,203.0,186.0
zjWTr2dw,259.0,70.0,2859.2,98.1,225.0,188.0
ivjztQWI,317.0,76.0,3548.0,74.2,212.0,167.0
4KPZqMyg,270.0,40.0,4366.1,69.7,201.0,154.0
nKY2tnFc,281.0,66.0,3540.6,89.7,273.0,150.0
klQgoWLN,242.0,69.0,2512.2,95.4,195.0,215.0
Ge5eeysr,276.0,76.0,2604.3,75.0,278.0,153.0
laQviKyK,331.0,63.0,3006.5,77.1,193.0,198.0
QIvOi9qq,241.0,64.0,3017.3,76.1,158.0,162.0
mgIPwdVr,260.0,73.0,1720.0,117.9,222.0,217.0
9x1Fm6kg,266.0,63.0,2969.3,107.7,194.0,231.0
RGUAuQUg,267.0,69.0,3277.9,96.2,131.0,147.0
RqVqNHI1,181.0,63.0,3071.8,101.2,195.0,215.0
OSOcqxMk,158.0,80.0,4196.9,68.2,165.0,164.0
H0GuVrDw,201.0,69.0,2841.7,76.0,207.0,187.0
IyohNfhm,261.0,78.0,2267.6,103.8,199.0,146.0
ZQljZfvZ,281.0,91.0,3933.4,72.6,178.0,220.0
LuUbNWRW,226.0,59.0,3118.9,85.7,231.0,222.0
3DNnf1Wl,323.0,60.0,3377.4,91.2,197.0,203.0
kXWh6JAt,246.0,81.0,2688.1,67.9,215.0,107.0
lm47hnW5,254.0,66.0,3446.7,96.4,179.0,172.0
QvenoCRP,243.0,59.0,2419.2,90.1,198.0,231.0
d3IegzNL,260.0,69.0,3871.7,48.4,213.0,207.0
QRhby0Os,289.0,83.0,3178.4,90.6,227.0,151.0
9b1rh7n8,287.0,76.0,3471.2,67.7,185.0,188.0
hVDEy3KX,207.0,35.0,2844.1,83.4,173.0,175.0
BkO4kKiL,330.0,32.0,3348.4,95.8,294.0,155.0
Dhw21uQP,197.0,62.0,2768.3,62.4,153.0,183.0
MbF63XlU,257.0,61.0,2981.3,70.9,170.0,199.0
rviziFIA,239.0,41.0,2893.3,53.3,214.0,148.0
G7apFJcZ,200.0,81.0,3197.1,80.8,215.0,152.0
wnaMSecQ,249.0,61.0,3289.1,65.7,96.0,201.0
ebLbbTS9,215.0,63.0,2929.7,98.5,178.0,188.0
bFXK2Eu6,257.0,80.0,3273.2,87.0,228.0,97.0
JLW7SkKq,273.0,58.0,3873.6,120.0,246.0,203.0
gqM9661i,327.0,68.0,3016.6,69.0,171.0,162.0
2C9OexVV,268.0,64.0,3454.3,76.7,183.0,173.0
bXp4IMCl,222.0,69.0,2281.8,57.5,171.0,198.0
6qU8WEWY,233.0,70.0,2330.5,124.9,188.0,179.0
8JfauNzI,260.0,53.0,3941.9,69.2,190.0,175.0
e8gppeAd,258.0,73.0,2586.9,86.7,191.0,170.0
wYV4ABOJ,327.0,46.0,2724.7,67.5,257.0,172.0
UDpksPUQ,324.0,75.0,3398.5,62.8,206.0,171.0
BQ1UzbDh,235.0,60.0,1889.9,75.8,193.0,168.0
94RSMbFu,225.0,68.0,2976.7,61.6,225.0,164.0
40JVWogP,123.0,60.0,2455.6,48.5,88.0,163.0
mPjdFmcr,225.0,82.0,3715.7,78.3,186.0,134.0
EitwAAKM,203.0,36.0,3847.1,76.3,118.0,193.0
0vsDcfEQ,235.0,66.0,2743.9,91.9,183.0,184.0
nd149xYX,273.0,70.0,3386.0,86.6,182.0,262.0
zRh0qnNh,262.0,74.0,2231.4,79.6,199.0,185.0
Urr9xDpO,251.0,81.0,2734.6,67.3,201.0,185.0
R9197viJ,263.0,73.0,3271.2,78.8,240.0,225.0
CmtDvmEJ,246.0,89.0,4706.1,73.3,115.0,178.0
WvIjA7HF,263.0,67.0,3270.9,68.6,269.0,200.0
eTPpzhzv,89.0,62.0,2835.6,89.7,200.0,165.0
3nUGnMCG,239.0,58.0,2675.8,90.7,201.0,238.0
pCUqEDQk,247.0,68.0,3767.3,67.3,109.0,154.0
TkS86NSX,236.0,88.0,3352.4,100.8,207.0,89.0
EHZcOCJq,242.0,48.0,3262.4,100.6,235.0,137.0
638WpfGT,288.0,86.0,2496.2,80.1,172.0,204.0
4Qk412N8,223.0,71.0,3113.8,104.2,209.0,135.0
VlQDTKSV,364.0,89.0,3003.1,86.0,230.0,193.0
kK9Jfxwv,288.0,67.0,3436.6,67.6,185.0,157.0
e7OSLbAe,253.0,47.0,3805.2,98.7,208.0,217.0
xReSRXs5,242.0,64.0,3965.1,88.2,149.0,188.0
DO5z5fzJ,248.0,65.0,3349.9,87.4,189.0,180.0
3SvHJhnJ,206.0,54.0,2883.9,97.5,270.0,166.0
0Pk2VyXX,248.0,57.0,4398.4,74.4,177.0,172.0
roq5zn6P,267.0,71.0,3317.4,82.7,199.0,187.0
YmB1XupU,282.0,76.0,3505.1,70.9,162.0,214.0
WXw8hWQo,282.0,62.0,3557.9,72.9,215.0,133.0
hmSvUPZ2,239.0,54.0,2631.9,77.3,208.0,197.0
HNNzcjKB,181.0,40.0,2811.1,91.0,298.0,171.0
iD6NDpNv,219.0,68.0,3482.0,83.1,245.0,198.0
lybpEriR,335.0,64.0,3794.3,93.2,229.0,207.0
PiMsOrGR,298.0,63.0,3035.3,76.2,179.0,159.0
T2rcXTTg,272.0,59.0,3147.1,88.1,208.0,171.0
JgG2YB1s,214.0,68.0,3245.7,92.9,213.0,237.0
5124pmOu,253.0,40.0,3143.6,80.1,238.0,231.0
EUUg1HJN,189.0,75.0,2730.2,103.4,244.0,184.0
s75bk0hY,225.0,65.0,2778.2,52.9,214.0,151.0
46COTtTP,240.0,89.0,2912.6,65.9,229.0,182.0
fJoMBFUi,234.0,72.0,3064.5,80.1,157.0,181.0
6M4nd4WL,301.0,92.0,2955.9,103.7,187.0,129.0
EI8Vkjw3,181.0,66.0,3163.2,94.4,200.0,174.0
NdL8zJzQ,209.0,66.0,3576.4,79.8,203.0,209.0
BlAgEATE,183.0,55.0,3191.9,65.3,217.0,161.0
2YEB2iln,190.0,58.0,3700.9,68.2,113.0,175.0
7GgkmFlx,259.0,83.0,1742.4,74.2,158.0,129.0
pmu602r4,172.0,77.0,4082.1,73.9,194.0,176.0
vA5H6GGS,291.0,62.0,3856.3,94.7,183.0,225.0
EY4LjAy9,240.0,70.0,3526.8,64.2,171.0,158.0
Dlo226Er,256.0,78.0,4194.2,81.9,123.0,233.0
NEmbPMSj,269.0,42.0,3658.6,74.3,121.0,180.0
ZLyf8iRf,231.0,75.0,2876.0,78.3,178.0,181.0
yRrZ5IbV,305.0,55.0,3604.9,64.1,232.0,234.0
Jd7ex6dA,243.0,67.0,3994.4,91.8,217.0,224.0
pUSckzd0,283.0,49.0,2394.2,80.2,162.0,230.0
Sf4Dq4X2,243.0,54.0,3608.7,63.1,182.0,181.0
3UHMDU8U,268.0,69.0,3743.2,105.0,225.0,194.0
G34um6YL,267.0,63.0,4071.5,82.9,198.0,146.0
zuUGPMsi,265.0,66.0,3489.1,66.8,221.0,182.0
NBSBzE5M,203.0,80.0,1816.4,96.4,196.0,181.0
AS454XvY,275.0,87.0,3372.7,80.9,180.0,199.0
Fkw7iC0X,237.0,67.0,3336.6,89.9,235.0,167.0
O12sfwHk,285.0,65.0,2807.5,111.7,211.0,191.0
HJXuoXuk,144.0,67.0,4085.8,67.5,177.0,138.0
Qity3o8M,179.0,77.0,3286.4,72.2,209.0,217.0
GPsVznUy,271.0,69.0,3828.5,81.0,190.0,227.0
5v6vU2kW,347.0,59.0,3952.8,88.8,219.0,224.0
gnxafm9U,295.0,82.0,3708.0,85.5,173.0,201.0
CTbwxIJJ,218.0,67.0,2699.4,70.1,273.0,192.0
kFZLaPZY,167.0,74.0,2382.0,63.5,179.0,173.0
lXITMXDB,290.0,74.0,1867.5,68.2,191.0,177.0
jplCe5ci,249.0,80.0,2142.9,74.8,235.0,184.0
7djnpXWJ,283.0,48.0,3648.8,94.7,265.0,194.0
OlH7lHGw,259.0,52.0,3280.8,93.4,185.0,227.0
oLDrStv7,254.0,68.0,3914.2,93.4,279.0,194.0
Baa5gNsK,403.0,77.0,2584.3,74.7,237.0,169.0
xdYMkXIy,253.0,58.0,3112.0,82.6,188.0,196.0
MIttdZmg,245.0,70.0,3646.4,101.3,172.0,180.0
OtK24wkV,247.0,82.0,4239.4,93.4,199.0,154.0
R092wRB9,223.0,74.0,3526.4,96.9,165.0,176.0
HB4JibDJ,303.0,55.0,3279.7,96.2,201.0,218.0
oBmdPzzH,235.0,88.0,4116.9,67.1,186.0,187.0
6Oxh3ifM,285.0,65.0,3661.4,63.3,195.0,165.0
1apy5usJ,267.0,45.0,3740.1,106.9,167.0,194.0
CZpwvj2G,315.0,96.0,4049.6,88.5,205.0,204.0
TKDSHeoh,274.0,57.0,2835.8,86.0,263.0,193.0
uet39zbh,191.0,68.0,4054.2,98.9,203.0,242.0
MlZUPxPB,186.0,62.0,3609.3,77.5,217.0,166.0
a9jido2b,324.0,74.0,2546.4,98.4,223.0,211.0
skehsjpx,222.0,58.0,3153.4,75.3,210.0,157.0
kKMvd603,186.0,62.0,4124.9,51.1,132.0,179.0
plovOVqt,219.0,60.0,4131.6,85.9,178.0,159.0
WfUfkjOY,317.0,99.0,3541.4,113.9,186.0,135.0
7QpbN22X,181.0,56.0,3290.1,85.3,226.0,162.0
tbrSSZ1D,209.0,74.0,2634.2,84.7,143.0,208.0
EfnxzyU0,219.0,52.0,2590.4,83.7,254.0,181.0
BFrDmEI6,189.0,40.0,2305.4,97.2,185.0,130.0
Y0Y0OrIo,193.0,71.0,3301.7,86.5,227.0,171.0
ydr31GL1,176.0,59.0,3485.8,78.9,169.0,258.0
2CqmXvVD,229.0,58.0,2110.1,87.0,151.0,231.0
1FPF5D4s,235.0,70.0,1686.8,73.2,211.0,169.0
dbYxlSpG,218.0,71.0,2840.6,90.6,182.0,194.0
1IvkQekC,169.0,54.0,2773.7,79.1,175.0,220.0
AW67HSve,316.0,81.0,2817.0,53.9,238.0,165.0
PI9w06Dt,185.0,83.0,2773.4,72.9,191.0,145.0
DbWFAqU1,267.0,66.0,3855.4,57.7,245.0,207.0
qLfS6pVa,198.0,69.0,3112.1,86.9,273.0,158.0
QVkBDBnF,287.0,69.0,4112.8,84.1,210.0,149.0
4CecdZrb,301.0,61.0,4039.6,120.6,294.0,232.0
QR6YTjzs,208.0,89.0,3186.8,86.0,177.0,194.0
qncTAIKA,155.0,59.0,3387.8,49.5,184.0,174.0
BtGqdujR,288.0,95.0,2100.2,90.1,217.0,173.0
LEiafuk9,348.0,46.0,1355.8,81.0,137.0,191.0
bznc0ioI,274.0,60.0,3257.1,79.3,174.0,138.0
BRz55epS,261.0,79.0,2820.6,72.0,256.0,173.0
xYusiM10,294.0,58.0,2628.0,63.2,141.0,156.0
XrjXOdcH,292.0,65.0,3774.5,80.8,216.0,243.0
Xc9Sys2L,211.0,55.0,2934.9,76.5,202.0,225.0
fkCTKuyW,219.0,87.0,3383.4,88.4,221.0,160.0
rEInjdFS,284.0,55.0,3186.0,60.8,245.0,187.0
XRqaQlTb,246.0,79.0,3211.0,89.3,196.0,147.0
zMpBdEXr,320.0,49.0,3654.2,73.2,337.0,230.0
M8TnmTAN,217.0,80.0,3762.6,76.0,200.0,196.0
qhcEWx2t,291.0,63.0,3826.3,94.6,198.0,180.0
I5mbqSBk,270.0,74.0,4324.1,82.9,179.0,208.0
EYWB6NvR,246.0,74.0,3279.2,73.6,303.0,167.0
lCMqudTE,312.0,51.0,3345.6,80.8,215.0,152.0
vf3gjdOW,287.0,62.0,2344.7,100.4,226.0,142.0
vv1uf6W2,202.0,65.0,2510.4,88.6,108.0,149.0
cm20o7iB,285.0,77.0,4135.0,109.9,189.0,150.0
U2RUyfNu,322.0,76.0,2737.2,99.2,196.0,174.0
BgY3QI2I,246.0,70.0,3871.2,67.7,230.0,204.0
Qr8OsNL7,240.0,90.0,4827.4,79.7,257.0,143.0
Rk0rkoBI,219.0,70.0,3812.2,109.0,204.0,170.0
PhHMfjgD,252.0,91.0,2666.6,79.1,198.0,161.0
6qooyPDB,288.0,64.0,1886.2,95.8,243.0,248.0
sTANwRZx,211.0,73.0,2496.1,58.2,192.0,202.0
o60MT7OB,185.0,86.0,3068.4,55.3,196.0,250.0
9tJuzqv2,234.0,,2966.3,89.1,222.0,183.0
RCpMvdCs,183.0,69.0,2767.9,77.1,214.0,104.0
lsUKcNQx,279.0,72.0,2515.0,72.0,263.0,230.0
IqNnb4Vy,231.0,67.0,4058.1,92.4,174.0,182.0
FUsaYUZ9,164.0,48.0,3158.8,82.8,210.0,180.0
mixfJH8C,235.0,66.0,3329.4,79.3,142.0,148.0
X3D2VaDu,243.0,76.0,2884.9,88.6,166.0,216.0
ldwBjpjw,276.0,59.0,4010.0,83.2,183.0,216.0
bs8XUlKC,245.0,68.0,3162.9,94.0,145.0,183.0
L0lSz9uD,347.0,64.0,2985.8,64.3,179.0,204.0
bHP4urZk,227.0,40.0,3301.6,102.4,183.0,229.0
BYtKIta5,250.0,68.0,2835.8,107.4,192.0,245.0
kyWiLsrj,248.0,68.0,3365.2,81.8,193.0,172.0
4LMZ0wER,239.0,59.0,2574.0,88.4,160.0,179.0
mKCl73EZ,260.0,79.0,3148.2,76.4,257.0,125.0
XQzIv94A,280.0,49.0,2977.4,60.3,228.0,205.0
9bolrnGG,321.0,64.0,2892.6,75.8,170.0,134.0
NddweU41,173.0,54.0,3181.9,77.4,116.0,165.0
oRa1KIZ8,227.0,86.0,3056.5,94.6,64.0,223.0
XzhbcMIa,230.0,85.0,2923.2,82.6,235.0,199.0
N3ixQqKj,300.0,67.0,2702.7,71.9,188.0,134.0
e4hkOMjI,235.0,68.0,2942.8,71.5,176.0,206.0
82urnqBo,157.0,79.0,3902.2,113.7,212.0,158.0
b4jl1uhK,257.0,48.0,1580.5,59.4,130.0,272.0
7SkotsGO,251.0,74.0,4301.2,50.7,294.0,238.0
Uw0Xj15G,262.0,51.0,4462.9,105.7,165.0,152.0
j1Kjbxje,200.0,84.0,2932.1,75.6,197.0,201.0
Auu75Tas,340.0,44.0,3125.7,64.0,184.0,148.0
EO8NuxGq,236.0,71.0,3151.1,96.0,195.0,66.0
9CQP4wHP,243.0,64.0,4458.7,81.5,158.0,122.0
ywxlJC3O,207.0,63.0,3748.4,89.3,173.0,247.0
hHVkFkVc,206.0,80.0,3369.8,79.4,279.0,229.0
XowUeVM9,191.0,64.0,3198.9,80.2,220.0,229.0
vLQ3SFAA,233.0,59.0,3594.6,51.8,247.0,189.0
5hJOLO9q,204.0,60.0,3415.5,100.5,168.0,173.0
qScpRloM,357.0,68.0,3145.6,99.3,161.0,225.0
O5pPBJGd,157.0,67.0,3945.1,106.0,209.0,218.0
31K7Ibrr,196.0,60.0,4322.6,122.5,218.0,140.0
vnrQfPxx,232.0,72.0,2870.9,53.0,166.0,210.0
v80f6jEe,287.0,61.0,4251.5,71.1,264.0,213.0
nk5jLsfx,232.0,52.0,4100.1,76.2,151.0,162.0
9F4wPEIs,287.0,50.0,3725.2,54.5,218.0,149.0
SDcIaika,203.0,54.0,3613.1,62.5,191.0,186.0
X3bpaSg0,256.0,67.0,2477.2,57.5,158.0,195.0
VBcdk99h,341.0,57.0,4018.0,89.5,163.0,132.0
7xy3yLOf,204.0,76.0,4154.1,59.0,219.0,236.0
DBUqqmcF,274.0,43.0,4304.4,73.8,193.0,209.0
s3wDI47t,263.0,65.0,3236.3,76.7,160.0,195.0
cGGP80Qp,139.0,73.0,2696.1,84.9,172.0,193.0
777Q48Rf,223.0,67.0,3272.3,95.7,190.0,199.0
VGOoOYI1,310.0,51.0,3263.1,68.4,169.0,171.0
PUq8XCRk,260.0,44.0,3620.3,75.5,169.0,165.0
oCxuc40W,191.0,72.0,3939.3,61.3,140.0,144.0
ep8tvxsy,288.0,72.0,2648.7,53.8,202.0,283.0
ocp1iOlp,229.0,74.0,3413.8,94.1,212.0,219.0
0LdkjUU0,271.0,92.0,3433.7,87.9,197.0,245.0
Wmxh1wGU,272.0,53.0,2930.1,96.1,232.0,188.0
HZFCeMx8,196.0,51.0,3641.7,62.2,164.0,183.0
jX2eZBQO,293.0,47.0,1781.9,90.2,271.0,223.0
MTMorLaU,202.0,52.0,3260.3,33.8,233.0,223.0
laX867mF,187.0,58.0,3469.1,80.6,226.0,245.0
XFC7FX0j,208.0,69.0,2983.7,76.4,235.0,231.0
j8bcAa92,235.0,63.0,3586.6,98.6,183.0,241.0
NY330sDM,258.0,68.0,3226.2,54.2,298.0,163.0
rN2DMM6V,214.0,47.0,2099.7,96.4,272.0,189.0
AlsiPRVX,291.0,81.0,3231.9,87.9,249.0,234.0
FZCAi0PJ,266.0,49.0,3569.5,73.8,170.0,253.0
gjC3uiRq,218.0,61.0,3370.9,78.7,148.0,208.0
yaed5hce,298.0,74.0,3223.5,89.8,201.0,220.0
anRr6N34,312.0,111.0,3211.7,68.8,136.0,220.0
cBkaP2aB,248.0,74.0,3407.9,86.2,216.0,202.0
dJ4fRqG9,242.0,58.0,3468.7,60.2,226.0,177.0
yZYyPizy,163.0,88.0,3321.6,82.8,210.0,210.0
e9yr9orE,232.0,73.0,3336.7,78.8,257.0,188.0
cEFzA9aG,238.0,78.0,2756.5,81.2,208.0,217.0
f3tClCti,265.0,58.0,2707.3,81.0,214.0,179.0
IxpOcwbK,244.0,77.0,2901.8,94.2,136.0,179.0
9kNsQ7uZ,265.0,68.0,4973.6,68.4,218.0,199.0
gzpgW4w2,331.0,49.0,3608.9,100.3,127.0,154.0
gtncXLlm,226.0,53.0,4332.2,93.1,169.0,168.0
vcLZABDb,228.0,71.0,3659.9,82.0,168.0,184.0
lHlk4JS0,186.0,39.0,3798.1,90.2,223.0,168.0
uRsQ6ExO,252.0,60.0,2482.7,54.3,181.0,225.0
s3gQbsDt,302.0,62.0,3042.5,75.7,207.0,203.0
5llXfygK,164.0,49.0,3260.7,68.6,194.0,218.0
b2PCohuj,219.0,75.0,2723.4,72.6,172.0,182.0
nUeGwqV6,255.0,47.0,2573.8,100.5,129.0,219.0
27ouR0KL,296.0,57.0,3752.9,90.4,153.0,154.0
mN2M8KjP,272.0,61.0,3678.0,78.1,150.0,204.0
8ZbEo7UV,269.0,62.0,2834.8,82.4,165.0,233.0
8TD5TEkl,241.0,70.0,3866.2,100.9,261.0,174.0
